App Name,App ID,App Version,Install Result,Launch Result,Comment
Agent Hunt  Hitman Shooter,com.gnarlygamestudio.agenthunt ,31.0.3 ,PASS ,PASS ,nan
Realms of Pixel,com.realmsofpixel.ng ,2.4.0 ,PASS ,PASS ,nan
Darts Club: PvP Multiplayer,com.boombitgames.Dartsy ,5.9.2 ,PASS ,PASS ,nan
WeightWatchers Program,com.weightwatchers.mobile ,10.84.0 ,PASS ,PASS ,nan
Autotrader: Shop Cars For Sale,com.autotrader.android ,4.14.1 ,PASS ,FAIL ,Launch Failed
Idle Weapon Shop,com.hg.idleweaponshoptycoon.android ,1.0.12 ,PASS ,PASS ,nan
Klover - Instant Cash Advance,com.klovercredit.android_app ,4.42.0 ,PASS ,PASS ,nan
NBA 2K Mobile Basketball Game,com.catdaddy.nba2km ,NA ,FAIL ,NA ,Not compatible with this version
Frameo: Share to photo frames,net.frameo.app ,v1.33.8 ,PASS ,PASS ,nan
Spades - Classic Cards,com.tripledot.spades ,1.07.00 ,PASS ,PASS ,nan
Push The Coin,com.day.day.good.nice ,1.3.2 ,PASS ,PASS ,nan
Dexcom G7,com.dexcom.g7 ,NA ,FAIL ,NA ,Not compatible with this version
Flappy Dunk,com.acidcousins.fdunk ,2.11.4 ,PASS ,PASS ,nan
Unscrew Nuts Sort: Pin Puzzle,com.pin.screw.color.nuts.bolts.spin.free.game ,1.0.7 ,PASS ,PASS ,nan
Color Oasis - Color by Number,com.tapcolor.color.coloring.number.paint.free ,1.2.5 ,PASS ,PASS ,nan
StardustTV - Movies & Dramas,com.shdj.test ,2.17.1 ,PASS ,PASS ,nan
Hexa Master 3D - Color Sort,com.hexa.master.puzzle.match3d ,2.0.0 ,PASS ,PASS ,nan
Match Collector,com.staplegames.matchcollector ,2.1,PASS ,PASS ,nan
FreeStyle Libre 3  US,com.freestylelibre3.app.us ,NA ,FAIL ,NA ,Not compatible with this version
Cricket Visual Voicemail,com.mizmowireless.vvm ,NA ,FAIL ,NA ,Not compatible with this version
Canasta Card Game,com.fiogonia.canasta ,1.2.2 ,PASS ,PASS ,nan
Cube Out 3D :Jam Puzzle,com.cube.out.jam.puzzle ,1.3.5 ,PASS ,PASS ,nan
Carl's Jr.®,com.carlsjr.ordering ,NA ,FAIL ,NA ,Not compatible with this version
Grand Cash Casino Slots Games,com.grandcashslots.free.gp ,6.2.4 ,PASS ,PASS ,nan
Factor_ Prepared Meal Delivery,com.factor75.factor75 ,25.12.0 ,PASS ,PASS ,nan
Power Pop Blast,power.pop.blast ,3.1.1 ,PASS ,PASS ,nan
Bible For Women,com.bible.holy.bible.for.women ,0.4.2.2 ,PASS ,PASS ,nan
Music Player & MP3 - DDMusic,musicplayer.playmusic.audioplayer ,1.14.0 ,PASS ,PASS ,nan
FanDuel Casino - Real Money,com.fanduel.casino ,1.5.1 ,PASS ,PASS ,nan
H&R Block Tax Prep: File Taxes,com.hrblock.AtHome ,14.5.0 ,PASS ,PASS ,nan
BetMGM Casino - Real Money,com.playmgmcasino.nj ,25.02.26 ,PASS ,PASS ,nan
Venabox - Ani Planet,com.anilymepro.ani ,1.6.4 ,PASS ,PASS ,nan
Driver Written Test: 2025 Test,com.dmvwrittentest.android ,1.1.84 ,PASS ,PASS ,nan
Magic Sort!,com.grandgames.magicsort ,0.0.706 ,PASS ,PASS ,nan
Backgammon - Board Game,com.easybrain.backgammon.board.games ,1.18.0 ,PASS ,PASS ,nan
Amtrak,com.amtrak.rider ,NA ,FAIL ,NA ,Not compatible with this version
Benjamin - Earn Cash Rewards,com.benjaminone.client ,3.14.0 ,PASS ,PASS ,nan
Color Clash,com.playakor.clashofcolor ,1.11.0 ,PASS ,PASS ,nan
Proxy Browser,proxy.browser.unblock.sites.proxybrowser.unblocksites ,4.9 RC1 ,PASS ,PASS ,nan
Jewel-Osco Deals & Delivery,com.safeway.client.android.jewelosco ,NA ,FAIL ,NA ,Not compatible with this version
Atlas Earth - Buy Virtual Land,ci.atlasearth.client ,NA ,FAIL ,NA ,Not compatible with this version
AI Chatbot - Nova,com.scaleup.chatai ,3.8.20 ,PASS ,PASS ,nan
myCigna,com.cigna.mobile.mycigna ,NA ,FAIL ,NA ,Not compatible with this version
Minecraft Education,com.mojang.minecraftedu ,1.21.06.0 ,PASS ,PASS ,nan
ShopRite: Groceries & Savings,com.wakefern.shoprite ,24.43.0 ,PASS ,PASS ,nan
Gin Rummy Classic,com.mobilityware.GinRummySolitaire ,1.7.2.1969 ,PASS ,PASS ,nan
Spider Solitaire - Card Games,com.playvalve.solitaire.spider ,1.9.0 ,PASS ,PASS ,nan
Pilates Workout at Home,pilatesworkout.yogaworkout.loseweight.workoutapps ,1.3.6 ,PASS ,PASS ,nan
Pyramid Mahjong,com.mahjong.pyramid.catnap.gp ,1.5.2 ,PASS ,PASS ,nan
Amazon Business: B2B Shopping,com.amazon.mShop.android.business.shopping ,30.5.0.451 ,PASS ,PASS ,nan
Chess - Offline Board Game,com.gamovation.chessclubpilot ,2.5.19 ,PASS ,PASS ,nan
VicoHome: Smart Home Camera,com.smartaddx.vicohome ,NA ,FAIL ,NA ,Not compatible with this version
Spades Stars - Card Game,com.playvalve.spades ,1.6.0 ,PASS ,PASS ,nan
Monster Hunter Now,com.nianticlabs.monsterhunter ,NA ,FAIL ,NA ,Not compatible with this version
Food Lion,com.foodlion.mobile ,8.7.1 ,PASS ,PASS ,nan
Screw Puzzle: Wood Nut & Bolt,com.fc.nut.screw.bolt.washer.fastener.puzzle ,1.195,PASS ,PASS ,nan
Color Pop - Fun Coloring Games,com.mwm.procolor ,1.65.02 ,PASS ,PASS ,nan
